cell_segid,centroid_x,centroid_y,centroid_z,cell_type_x,cell_subtype,id,cell_type_y,pt_position,soma_x_nm,soma_y_nm,soma_z_nm
648518346349537798,76800,41072,63,pyramidal,pyramidal cell,278,e,[76923 41123    66],307692,307692,3076920
648518346349536809,72384,48224,76,pyramidal,pyramidal cell,450,e,[72175 48400    61],288700,288700,2887000
648518346349538296,110176,60624,2112,pyramidal,pyramidal cell,224,e,[110176  60874   2117],440704,440704,4407040
648518346349539780,76608,49440,2113,pyramidal,pyramidal cell,168,e,[76633 49822  2156],306532,306532,3065320
648518346349532006,110672,56240,77,pyramidal,pyramidal cell,320,e,[110619  56289     68],442476,442476,4424760
648518346349535473,118528,68912,1374,pyramidal,pyramidal cell,304,e,[118467  68777   1430],473868,473868,4738680
648518346349539430,114928,57984,2111,pyramidal,pyramidal cell,427,e,[115024  57441   2098],460096,460096,4600960
648518346349537808,105072,64592,2106,pyramidal,pyramidal cell,225,e,[105062  64734   2119],420248,420248,4202480
648518346349537075,67136,73280,2105,pyramidal,pyramidal cell,152,e,[67088 73250  2129],268352,268352,2683520
648518346349538298,71520,45600,72,pyramidal,pyramidal cell,458,e,[71417 45668    79],285668,285668,2856680
648518346349537255,100752,49456,2099,pyramidal,pyramidal cell,213,e,[100744  49336   2146],402976,402976,4029760
648518346349537434,68272,53216,2098,pyramidal,pyramidal cell,198,e,[68245 53158  2111],272980,272980,2729800
648518346349537741,85808,73568,2086,pyramidal,pyramidal cell,183,e,[85589 73339  2061],342356,342356,3423560
648518346349539080,93648,45536,2065,pyramidal,pyramidal cell,239,e,[93551 45577  2058],374204,374204,3742040
648518346349537153,90304,53552,101,pyramidal,pyramidal cell,61,e,[90432 53419   104],361728,361728,3617280
648518346349534079,69200,64624,626,pyramidal,pyramidal cell,143,e,[69276 64602   608],277104,277104,2771040
648518346349538431,77536,72736,211,pyramidal,pyramidal cell,275,e,[77519 72642   218],310076,310076,3100760
648518346349537297,112016,58128,1511,pyramidal,pyramidal cell,7,e,[111812  58145   1498],447248,447248,4472480
648518346349537243,113024,74240,1442,pyramidal,pyramidal cell,272,e,[112885  74140   1448],451540,451540,4515400
648518346349537487,66880,56704,112,pyramidal,pyramidal cell,119,e,[66751 56789   120],267004,267004,2670040
648518346349531851,82944,60768,178,pyramidal,pyramidal cell,178,e,[82871 60834   184],331484,331484,3314840
648518346349491311,78512,39920,1973,pyramidal,pyramidal cell,318,e,[78507 39985  1932],314028,314028,3140280
648518346349537984,65136,41120,2077,pyramidal,pyramidal cell,182,e,[65140 41216  2071],260560,260560,2605600
